NThreads;Kernel;Texec;Gflops
1;0;56.101578;2.449823
2;0;33.454494;4.108236
3;0;21.608725;6.360345
4;0;16.653854;8.252682
5;0;14.221090;9.664445
6;0;12.155931;11.306329
7;0;10.600844;12.964906
8;0;9.590339;14.330979
9;0;8.990393;15.287314
10;0;8.508378;16.153366
11;0;7.685858;17.882057
12;0;6.434533;21.359585
13;0;6.654160;20.654591
14;0;6.314484;21.765667
15;0;5.864499;23.435755
16;0;5.423694;25.340471
17;0;5.068979;27.113735
31;0;3.769420;36.461559
32;0;4.111307;33.429501
64;0;5.504161;24.970007
128;0;7.119193;19.305412
1;1;3.733980;36.807629
2;1;2.021789;67.978889
3;1;1.422541;96.615135
4;1;1.130791;121.542267
5;1;0.925334;148.528976
6;1;0.889646;154.487183
7;1;0.669397;205.317520
8;1;0.667444;205.918274
9;1;0.623414;220.461838
10;1;0.579242;237.273727
11;1;0.526852;260.868286
12;1;0.495066;277.617676
13;1;0.466164;294.829834
14;1;0.484579;283.625549
15;1;0.411200;334.238342
16;1;0.432389;317.859283
17;1;0.505483;271.896484
31;1;0.540017;254.508591
32;1;0.504831;272.247375
64;1;0.676724;203.094681
